mode,max_planes,beam_width,max_candidates_per_class,max_rules_per_class,max_clauses,clause_beam_width,clause_iterations,clause_diverse_topk,clause_overlap_max,elapsed_s,rules_class4,total_rules
and_or_beam,16,24,300,720,3,12,120,30,0.80,0.0039,13,13
and_or_beam,16,24,300,720,3,12,120,40,0.60,0.0038,13,13
and_or_beam,16,24,300,720,3,12,120,40,0.70,0.0042,13,13
and_or_beam,16,24,300,720,3,12,120,40,0.80,0.0040,13,13
and_or_beam,16,24,300,720,3,12,180,30,0.60,0.0044,13,13
and_or_beam,16,24,300,720,3,12,180,30,0.70,0.0039,13,13
and_or_beam,16,24,300,720,3,12,180,30,0.80,0.0039,13,13
and_or_beam,16,24,300,720,3,12,180,40,0.60,0.0044,13,13
and_or_beam,16,24,300,720,3,12,180,40,0.70,0.0048,13,13
and_or_beam,16,24,300,720,3,12,180,40,0.80,0.0047,13,13
and_or_beam,16,24,300,720,3,16,120,30,0.60,0.0042,13,13
and_or_beam,16,24,300,720,3,16,120,30,0.70,0.0057,13,13
and_or_beam,16,24,300,720,3,16,120,30,0.80,0.0054,13,13
and_or_beam,16,24,300,720,3,16,120,40,0.60,0.0048,13,13
and_or_beam,16,24,300,720,3,16,120,40,0.70,0.0040,13,13
and_or_beam,16,24,300,720,3,16,120,40,0.80,0.0038,13,13
and_or_beam,16,24,300,720,3,16,180,30,0.60,0.0041,13,13
and_or_beam,16,24,300,720,3,16,180,30,0.70,0.0038,13,13
and_or_beam,16,24,300,720,3,16,180,30,0.80,0.0037,13,13
and_or_beam,16,24,300,720,3,16,180,40,0.60,0.0038,13,13
and_or_beam,16,24,300,720,3,16,180,40,0.70,0.0039,13,13
and_or_beam,16,24,300,720,3,16,180,40,0.80,0.0039,13,13
and_or_beam,16,24,300,720,4,12,120,30,0.60,0.0041,13,13
and_or_beam,16,24,300,720,4,12,120,30,0.70,0.0041,13,13
and_or_beam,16,24,300,720,4,12,120,30,0.80,0.0045,13,13
and_or_beam,16,24,300,720,4,12,120,40,0.60,0.0074,13,13
and_or_beam,16,24,300,720,4,12,120,40,0.70,0.0045,13,13
and_or_beam,16,24,300,720,4,12,120,40,0.80,0.0042,13,13
and_or_beam,16,24,300,720,4,12,180,30,0.60,0.0062,13,13
and_or_beam,16,24,300,720,4,12,180,30,0.70,0.0041,13,13
and_or_beam,16,24,300,720,4,12,180,30,0.80,0.0041,13,13
and_or_beam,16,24,300,720,4,12,180,40,0.60,0.0042,13,13
and_or_beam,16,24,300,720,4,12,180,40,0.70,0.0041,13,13
and_or_beam,16,24,300,720,4,12,180,40,0.80,0.0039,13,13
and_or_beam,16,24,300,720,4,16,120,30,0.60,0.0040,13,13
and_or_beam,16,24,300,720,4,16,120,30,0.70,0.0039,13,13
and_or_beam,16,24,300,720,4,16,120,30,0.80,0.0040,13,13
and_or_beam,16,24,300,720,4,16,120,40,0.60,0.0039,13,13
and_or_beam,16,24,300,720,4,16,120,40,0.70,0.0040,13,13
and_or_beam,16,24,300,720,4,16,120,40,0.80,0.0040,13,13
and_or_beam,16,24,300,720,4,16,180,30,0.60,0.0041,13,13
and_or_beam,16,24,300,720,4,16,180,30,0.70,0.0041,13,13
and_or_beam,16,24,300,720,4,16,180,30,0.80,0.0040,13,13
and_or_beam,16,24,300,720,4,16,180,40,0.60,0.0041,13,13
and_or_beam,16,24,300,720,4,16,180,40,0.70,0.0040,13,13
and_or_beam,16,24,300,720,4,16,180,40,0.80,0.0039,13,13
and_or_beam,16,24,600,480,2,12,120,30,0.60,0.0034,13,13
and_or_beam,16,24,600,480,2,12,120,30,0.70,0.0033,13,13
and_or_beam,16,24,600,480,2,12,120,30,0.80,0.0047,13,13
and_or_beam,16,24,600,480,2,12,120,40,0.60,0.0033,13,13
and_or_beam,16,24,600,480,2,12,120,40,0.70,0.0032,13,13
and_or_beam,16,24,600,480,2,12,120,40,0.80,0.0033,13,13
and_or_beam,16,24,600,480,2,12,180,30,0.60,0.0033,13,13
and_or_beam,16,24,600,480,2,12,180,30,0.70,0.0032,13,13
and_or_beam,16,24,600,480,2,12,180,30,0.80,0.0032,13,13
and_or_beam,16,24,600,480,2,12,180,40,0.60,0.0033,13,13
and_or_beam,16,24,600,480,2,12,180,40,0.70,0.0033,13,13
and_or_beam,16,24,600,480,2,12,180,40,0.80,0.0033,13,13
and_or_beam,16,24,600,480,2,16,120,30,0.60,0.0034,13,13
and_or_beam,16,24,600,480,2,16,120,30,0.70,0.0033,13,13
and_or_beam,16,24,600,480,2,16,120,30,0.80,0.0033,13,13
and_or_beam,16,24,600,480,2,16,120,40,0.60,0.0031,13,13
and_or_beam,16,24,600,480,2,16,120,40,0.70,0.0032,13,13
and_or_beam,16,24,600,480,2,16,120,40,0.80,0.0035,13,13
and_or_beam,16,24,600,480,2,16,180,30,0.60,0.0035,13,13
and_or_beam,16,24,600,480,2,16,180,30,0.70,0.0034,13,13
and_or_beam,16,24,600,480,2,16,180,30,0.80,0.0040,13,13
and_or_beam,16,24,600,480,2,16,180,40,0.60,0.0033,13,13
and_or_beam,16,24,600,480,2,16,180,40,0.70,0.0032,13,13
and_or_beam,16,24,600,480,2,16,180,40,0.80,0.0034,13,13
and_or_beam,16,24,600,480,3,12,120,30,0.60,0.0037,13,13
and_or_beam,16,24,600,480,3,12,120,30,0.70,0.0036,13,13
and_or_beam,16,24,600,480,3,12,120,30,0.80,0.0040,13,13
and_or_beam,16,24,600,480,3,12,120,40,0.60,0.0038,13,13
and_or_beam,16,24,600,480,3,12,120,40,0.70,0.0039,13,13
and_or_beam,16,24,600,480,3,12,120,40,0.80,0.0041,13,13
and_or_beam,16,24,600,480,3,12,180,30,0.60,0.0046,13,13
and_or_beam,16,24,600,480,3,12,180,30,0.70,0.0041,13,13
and_or_beam,16,24,600,480,3,12,180,30,0.80,0.0038,13,13
and_or_beam,16,24,600,480,3,12,180,40,0.60,0.0039,13,13
and_or_beam,16,24,600,480,3,12,180,40,0.70,0.0038,13,13
and_or_beam,16,24,600,480,3,12,180,40,0.80,0.0036,13,13
and_or_beam,16,24,600,480,3,16,120,30,0.60,0.0037,13,13
and_or_beam,16,24,600,480,3,16,120,30,0.70,0.0038,13,13
and_or_beam,16,24,600,480,3,16,120,30,0.80,0.0037,13,13
and_or_beam,16,24,600,480,3,16,120,40,0.60,0.0037,13,13
and_or_beam,16,24,600,480,3,16,120,40,0.70,0.0036,13,13
and_or_beam,16,24,600,480,3,16,120,40,0.80,0.0037,13,13
and_or_beam,16,24,600,480,3,16,180,30,0.60,0.0037,13,13
and_or_beam,16,24,600,480,3,16,180,30,0.70,0.0037,13,13
and_or_beam,16,24,600,480,3,16,180,30,0.80,0.0037,13,13
and_or_beam,16,24,600,480,3,16,180,40,0.60,0.0038,13,13
and_or_beam,16,24,600,480,3,16,180,40,0.70,0.0037,13,13
and_or_beam,16,24,600,480,3,16,180,40,0.80,0.0038,13,13
and_or_beam,16,24,600,480,4,12,120,30,0.60,0.0043,13,13
and_or_beam,16,24,600,480,4,12,120,30,0.70,0.0041,13,13
and_or_beam,16,24,600,480,4,12,120,30,0.80,0.0040,13,13
and_or_beam,16,24,600,480,4,12,120,40,0.60,0.0041,13,13
and_or_beam,16,24,600,480,4,12,120,40,0.70,0.0042,13,13
and_or_beam,16,24,600,480,4,12,120,40,0.80,0.0039,13,13
and_or_beam,16,24,600,480,4,12,180,30,0.60,0.0039,13,13
and_or_beam,16,24,600,480,4,12,180,30,0.70,0.0039,13,13
and_or_beam,16,24,600,480,4,12,180,30,0.80,0.0039,13,13
and_or_beam,16,24,600,480,4,12,180,40,0.60,0.0039,13,13
and_or_beam,16,24,600,480,4,12,180,40,0.70,0.0039,13,13
and_or_beam,16,24,600,480,4,12,180,40,0.80,0.0039,13,13
and_or_beam,16,24,600,480,4,16,120,30,0.60,0.0038,13,13
and_or_beam,16,24,600,480,4,16,120,30,0.70,0.0039,13,13
and_or_beam,16,24,600,480,4,16,120,30,0.80,0.0040,13,13
and_or_beam,16,24,600,480,4,16,120,40,0.60,0.0039,13,13
and_or_beam,16,24,600,480,4,16,120,40,0.70,0.0040,13,13
and_or_beam,16,24,600,480,4,16,120,40,0.80,0.0042,13,13
and_or_beam,16,24,600,480,4,16,180,30,0.60,0.0041,13,13
and_or_beam,16,24,600,480,4,16,180,30,0.70,0.0039,13,13
and_or_beam,16,24,600,480,4,16,180,30,0.80,0.0039,13,13
and_or_beam,16,24,600,480,4,16,180,40,0.60,0.0039,13,13
and_or_beam,16,24,600,480,4,16,180,40,0.70,0.0040,13,13
and_or_beam,16,24,600,480,4,16,180,40,0.80,0.0040,13,13
and_or_beam,16,24,600,720,2,12,120,30,0.60,0.0031,13,13
and_or_beam,16,24,600,720,2,12,120,30,0.70,0.0032,13,13
and_or_beam,16,24,600,720,2,12,120,30,0.80,0.0033,13,13
and_or_beam,16,24,600,720,2,12,120,40,0.60,0.0032,13,13
and_or_beam,16,24,600,720,2,12,120,40,0.70,0.0033,13,13
and_or_beam,16,24,600,720,2,12,120,40,0.80,0.0033,13,13
and_or_beam,16,24,600,720,2,12,180,30,0.60,0.0032,13,13
and_or_beam,16,24,600,720,2,12,180,30,0.70,0.0034,13,13
and_or_beam,16,24,600,720,2,12,180,30,0.80,0.0033,13,13
and_or_beam,16,24,600,720,2,12,180,40,0.60,0.0034,13,13
and_or_beam,16,24,600,720,2,12,180,40,0.70,0.0032,13,13
and_or_beam,16,24,600,720,2,12,180,40,0.80,0.0032,13,13
and_or_beam,16,24,600,720,2,16,120,30,0.60,0.0033,13,13
and_or_beam,16,24,600,720,2,16,120,30,0.70,0.0033,13,13
and_or_beam,16,24,600,720,2,16,120,30,0.80,0.0034,13,13
and_or_beam,16,24,600,720,2,16,120,40,0.60,0.0033,13,13
and_or_beam,16,24,600,720,2,16,120,40,0.70,0.0034,13,13
and_or_beam,16,24,600,720,2,16,120,40,0.80,0.0033,13,13
and_or_beam,16,24,600,720,2,16,180,30,0.60,0.0034,13,13
and_or_beam,16,24,600,720,2,16,180,30,0.70,0.0035,13,13
and_or_beam,16,24,600,720,2,16,180,30,0.80,0.0037,13,13
and_or_beam,16,24,600,720,2,16,180,40,0.60,0.0036,13,13
and_or_beam,16,24,600,720,2,16,180,40,0.70,0.0035,13,13
and_or_beam,16,24,600,720,2,16,180,40,0.80,0.0035,13,13
and_or_beam,16,24,600,720,3,12,120,30,0.60,0.0040,13,13
and_or_beam,16,24,600,720,3,12,120,30,0.70,0.0043,13,13
and_or_beam,16,24,600,720,3,12,120,30,0.80,0.0040,13,13
and_or_beam,16,24,600,720,3,12,120,40,0.60,0.0041,13,13
and_or_beam,16,24,600,720,3,12,120,40,0.70,0.0039,13,13
and_or_beam,16,24,600,720,3,12,120,40,0.80,0.0038,13,13
and_or_beam,16,24,600,720,3,12,180,30,0.60,0.0039,13,13
and_or_beam,16,24,600,720,3,12,180,30,0.70,0.0039,13,13
and_or_beam,16,24,600,720,3,12,180,30,0.80,0.0039,13,13
and_or_beam,16,24,600,720,3,12,180,40,0.60,0.0038,13,13
and_or_beam,16,24,600,720,3,12,180,40,0.70,0.0039,13,13
and_or_beam,16,24,600,720,3,12,180,40,0.80,0.0038,13,13
and_or_beam,16,24,600,720,3,16,120,30,0.60,0.0039,13,13
and_or_beam,16,24,600,720,3,16,120,30,0.70,0.0041,13,13
and_or_beam,16,24,600,720,3,16,120,30,0.80,0.0040,13,13
and_or_beam,16,24,600,720,3,16,120,40,0.60,0.0038,13,13
and_or_beam,16,24,600,720,3,16,120,40,0.70,0.0039,13,13
and_or_beam,16,24,600,720,3,16,120,40,0.80,0.0038,13,13
and_or_beam,16,24,600,720,3,16,180,30,0.60,0.0038,13,13
and_or_beam,16,24,600,720,3,16,180,30,0.70,0.0036,13,13
and_or_beam,16,24,600,720,3,16,180,30,0.80,0.0037,13,13
and_or_beam,16,24,600,720,3,16,180,40,0.60,0.0038,13,13
and_or_beam,16,24,600,720,3,16,180,40,0.70,0.0036,13,13
and_or_beam,16,24,600,720,3,16,180,40,0.80,0.0037,13,13
and_or_beam,16,24,600,720,4,12,120,30,0.60,0.0041,13,13
and_or_beam,16,24,600,720,4,12,120,30,0.70,0.0039,13,13
and_or_beam,16,24,600,720,4,12,120,30,0.80,0.0039,13,13
and_or_beam,16,24,600,720,4,12,120,40,0.60,0.0039,13,13
and_or_beam,16,24,600,720,4,12,120,40,0.70,0.0039,13,13
and_or_beam,16,24,600,720,4,12,120,40,0.80,0.0042,13,13
and_or_beam,16,24,600,720,4,12,180,30,0.60,0.0040,13,13
and_or_beam,16,24,600,720,4,12,180,30,0.70,0.0041,13,13
and_or_beam,16,24,600,720,4,12,180,30,0.80,0.0042,13,13
and_or_beam,16,24,600,720,4,12,180,40,0.60,0.0042,13,13
and_or_beam,16,24,600,720,4,12,180,40,0.70,0.0042,13,13
and_or_beam,16,24,600,720,4,12,180,40,0.80,0.0041,13,13
and_or_beam,16,24,600,720,4,16,120,30,0.60,0.0041,13,13
and_or_beam,16,24,600,720,4,16,120,30,0.70,0.0043,13,13
and_or_beam,16,24,600,720,4,16,120,30,0.80,0.0043,13,13
and_or_beam,16,24,600,720,4,16,120,40,0.60,0.0043,13,13
and_or_beam,16,24,600,720,4,16,120,40,0.70,0.0046,13,13
and_or_beam,16,24,600,720,4,16,120,40,0.80,0.0042,13,13
and_or_beam,16,24,600,720,4,16,180,30,0.60,0.0042,13,13
and_or_beam,16,24,600,720,4,16,180,30,0.70,0.0045,13,13
and_or_beam,16,24,600,720,4,16,180,30,0.80,0.0044,13,13
and_or_beam,16,24,600,720,4,16,180,40,0.60,0.0043,13,13
and_or_beam,16,24,600,720,4,16,180,40,0.70,0.0042,13,13
and_or_beam,16,24,600,720,4,16,180,40,0.80,0.0043,13,13
and_or_beam,16,36,300,480,2,12,120,30,0.60,0.0036,13,13
and_or_beam,16,36,300,480,2,12,120,30,0.70,0.0033,13,13
and_or_beam,16,36,300,480,2,12,120,30,0.80,0.0033,13,13
and_or_beam,16,36,300,480,2,12,120,40,0.60,0.0034,13,13
and_or_beam,16,36,300,480,2,12,120,40,0.70,0.0035,13,13
and_or_beam,16,36,300,480,2,12,120,40,0.80,0.0034,13,13
and_or_beam,16,36,300,480,2,12,180,30,0.60,0.0034,13,13
and_or_beam,16,36,300,480,2,12,180,30,0.70,0.0036,13,13
and_or_beam,16,36,300,480,2,12,180,30,0.80,0.0036,13,13
and_or_beam,16,36,300,480,2,12,180,40,0.60,0.0034,13,13
and_or_beam,16,36,300,480,2,12,180,40,0.70,0.0035,13,13
and_or_beam,16,36,300,480,2,12,180,40,0.80,0.0034,13,13
and_or_beam,16,36,300,480,2,16,120,30,0.60,0.0033,13,13
and_or_beam,16,36,300,480,2,16,120,30,0.70,0.0039,13,13
and_or_beam,16,36,300,480,2,16,120,30,0.80,0.0035,13,13
and_or_beam,16,36,300,480,2,16,120,40,0.60,0.0034,13,13
and_or_beam,16,36,300,480,2,16,120,40,0.70,0.0033,13,13
and_or_beam,16,36,300,480,2,16,120,40,0.80,0.0034,13,13
and_or_beam,16,36,300,480,2,16,180,30,0.60,0.0034,13,13
and_or_beam,16,36,300,480,2,16,180,30,0.70,0.0036,13,13
and_or_beam,16,36,300,480,2,16,180,30,0.80,0.0035,13,13
and_or_beam,16,36,300,480,2,16,180,40,0.60,0.0037,13,13
and_or_beam,16,36,300,480,2,16,180,40,0.70,0.0036,13,13
and_or_beam,16,36,300,480,2,16,180,40,0.80,0.0043,13,13
and_or_beam,16,36,300,480,3,12,120,30,0.60,0.0041,13,13
and_or_beam,16,36,300,480,3,12,120,30,0.70,0.0038,13,13
and_or_beam,16,36,300,480,3,12,120,30,0.80,0.0039,13,13
and_or_beam,16,36,300,480,3,12,120,40,0.60,0.0045,13,13
and_or_beam,16,36,300,480,3,12,120,40,0.70,0.0043,13,13
and_or_beam,16,36,300,480,3,12,120,40,0.80,0.0048,13,13
and_or_beam,16,36,300,480,3,12,180,30,0.60,0.0048,13,13
and_or_beam,16,36,300,480,3,12,180,30,0.70,0.0041,13,13
and_or_beam,16,36,300,480,3,12,180,30,0.80,0.0044,13,13
and_or_beam,16,36,300,480,3,12,180,40,0.60,0.0045,13,13
and_or_beam,16,36,300,480,3,12,180,40,0.70,0.0045,13,13
and_or_beam,16,36,300,480,3,12,180,40,0.80,0.0038,13,13
and_or_beam,16,36,300,480,3,16,120,30,0.60,0.0037,13,13
and_or_beam,16,36,300,480,3,16,120,30,0.70,0.0050,13,13
and_or_beam,16,36,300,480,3,16,120,30,0.80,0.0054,13,13
and_or_beam,16,36,300,480,3,16,120,40,0.60,0.0038,13,13
and_or_beam,16,36,300,480,3,16,120,40,0.70,0.0038,13,13
and_or_beam,16,36,300,480,3,16,120,40,0.80,0.0050,13,13
and_or_beam,16,36,300,480,3,16,180,30,0.60,0.0048,13,13
and_or_beam,16,36,300,480,3,16,180,30,0.70,0.0040,13,13
and_or_beam,16,36,300,480,3,16,180,30,0.80,0.0040,13,13
and_or_beam,16,36,300,480,3,16,180,40,0.60,0.0042,13,13
and_or_beam,16,36,300,480,3,16,180,40,0.70,0.0038,13,13
and_or_beam,16,36,300,480,3,16,180,40,0.80,0.0038,13,13
and_or_beam,16,36,300,480,4,12,120,30,0.60,0.0042,13,13
and_or_beam,16,36,300,480,4,12,120,30,0.70,0.0051,13,13
and_or_beam,16,36,300,480,4,12,120,30,0.80,0.0048,13,13
and_or_beam,16,36,300,480,4,12,120,40,0.60,0.0043,13,13
and_or_beam,16,36,300,480,4,12,120,40,0.70,0.0042,13,13
and_or_beam,16,36,300,480,4,12,120,40,0.80,0.0042,13,13
and_or_beam,16,36,300,480,4,12,180,30,0.60,0.0041,13,13
and_or_beam,16,36,300,480,4,12,180,30,0.70,0.0041,13,13
and_or_beam,16,36,300,480,4,12,180,30,0.80,0.0042,13,13
and_or_beam,16,36,300,480,4,12,180,40,0.60,0.0043,13,13
and_or_beam,16,36,300,480,4,12,180,40,0.70,0.0042,13,13
and_or_beam,16,36,300,480,4,12,180,40,0.80,0.0043,13,13
and_or_beam,16,36,300,480,4,16,120,30,0.60,0.0043,13,13
and_or_beam,16,36,300,480,4,16,120,30,0.70,0.0042,13,13
and_or_beam,16,36,300,480,4,16,120,30,0.80,0.0042,13,13
and_or_beam,16,36,300,480,4,16,120,40,0.60,0.0043,13,13
and_or_beam,16,36,300,480,4,16,120,40,0.70,0.0046,13,13
and_or_beam,16,36,300,480,4,16,120,40,0.80,0.0043,13,13
and_or_beam,16,36,300,480,4,16,180,30,0.60,0.0044,13,13
and_or_beam,16,36,300,480,4,16,180,30,0.70,0.0043,13,13
and_or_beam,16,36,300,480,4,16,180,30,0.80,0.0041,13,13
and_or_beam,16,36,300,480,4,16,180,40,0.60,0.0047,13,13
and_or_beam,16,36,300,480,4,16,180,40,0.70,0.0058,13,13
and_or_beam,16,36,300,480,4,16,180,40,0.80,0.0053,13,13
and_or_beam,16,36,300,720,2,12,120,30,0.60,0.0037,13,13
and_or_beam,16,36,300,720,2,12,120,30,0.70,0.0034,13,13
and_or_beam,16,36,300,720,2,12,120,30,0.80,0.0033,13,13
and_or_beam,16,36,300,720,2,12,120,40,0.60,0.0032,13,13
and_or_beam,16,36,300,720,2,12,120,40,0.70,0.0033,13,13
and_or_beam,16,36,300,720,2,12,120,40,0.80,0.0033,13,13
and_or_beam,16,36,300,720,2,12,180,30,0.60,0.0032,13,13
and_or_beam,16,36,300,720,2,12,180,30,0.70,0.0034,13,13
and_or_beam,16,36,300,720,2,12,180,30,0.80,0.0032,13,13
and_or_beam,16,36,300,720,2,12,180,40,0.60,0.0032,13,13
and_or_beam,16,36,300,720,2,12,180,40,0.70,0.0036,13,13
and_or_beam,16,36,300,720,2,12,180,40,0.80,0.0033,13,13
and_or_beam,16,36,300,720,2,16,120,30,0.60,0.0034,13,13
and_or_beam,16,36,300,720,2,16,120,30,0.70,0.0034,13,13
and_or_beam,16,36,300,720,2,16,120,30,0.80,0.0035,13,13
and_or_beam,16,36,300,720,2,16,120,40,0.60,0.0033,13,13
and_or_beam,16,36,300,720,2,16,120,40,0.70,0.0033,13,13
and_or_beam,16,36,300,720,2,16,120,40,0.80,0.0034,13,13
and_or_beam,16,36,300,720,2,16,180,30,0.60,0.0042,13,13
and_or_beam,16,36,300,720,2,16,180,30,0.70,0.0037,13,13
and_or_beam,16,36,300,720,2,16,180,30,0.80,0.0035,13,13
and_or_beam,16,36,300,720,2,16,180,40,0.60,0.0036,13,13
and_or_beam,16,36,300,720,2,16,180,40,0.70,0.0035,13,13
and_or_beam,16,36,300,720,2,16,180,40,0.80,0.0035,13,13
and_or_beam,16,36,300,720,3,12,120,30,0.60,0.0040,13,13
and_or_beam,16,36,300,720,3,12,120,30,0.70,0.0040,13,13
and_or_beam,16,36,300,720,3,12,120,30,0.80,0.0041,13,13
and_or_beam,16,36,300,720,3,12,120,40,0.60,0.0041,13,13
and_or_beam,16,36,300,720,3,12,120,40,0.70,0.0041,13,13
and_or_beam,16,36,300,720,3,12,120,40,0.80,0.0042,13,13
and_or_beam,16,36,300,720,3,12,180,30,0.60,0.0037,13,13
and_or_beam,16,36,300,720,3,12,180,30,0.70,0.0038,13,13
and_or_beam,16,36,300,720,3,12,180,30,0.80,0.0039,13,13
and_or_beam,16,36,300,720,3,12,180,40,0.60,0.0040,13,13
and_or_beam,16,36,300,720,3,12,180,40,0.70,0.0040,13,13
and_or_beam,16,36,300,720,3,12,180,40,0.80,0.0038,13,13
and_or_beam,16,36,300,720,3,16,120,30,0.60,0.0037,13,13
and_or_beam,16,36,300,720,3,16,120,30,0.70,0.0037,13,13
and_or_beam,16,36,300,720,3,16,120,30,0.80,0.0038,13,13
and_or_beam,16,36,300,720,3,16,120,40,0.60,0.0037,13,13
and_or_beam,16,36,300,720,3,16,120,40,0.70,0.0037,13,13
and_or_beam,16,36,300,720,3,16,120,40,0.80,0.0038,13,13
and_or_beam,16,36,300,720,3,16,180,30,0.60,0.0038,13,13
and_or_beam,16,36,300,720,3,16,180,30,0.70,0.0038,13,13
and_or_beam,16,36,300,720,3,16,180,30,0.80,0.0039,13,13
and_or_beam,16,36,300,720,3,16,180,40,0.60,0.0041,13,13
and_or_beam,16,36,300,720,3,16,180,40,0.70,0.0039,13,13
and_or_beam,16,36,300,720,3,16,180,40,0.80,0.0040,13,13
and_or_beam,16,36,300,720,4,12,120,30,0.60,0.0046,13,13
and_or_beam,16,36,300,720,4,12,120,30,0.70,0.0041,13,13
and_or_beam,16,36,300,720,4,12,120,30,0.80,0.0042,13,13
and_or_beam,16,36,300,720,4,12,120,40,0.60,0.0041,13,13
and_or_beam,16,36,300,720,4,12,120,40,0.70,0.0042,13,13
and_or_beam,16,36,300,720,4,12,120,40,0.80,0.0043,13,13
and_or_beam,16,36,300,720,4,12,180,30,0.60,0.0044,13,13
and_or_beam,16,36,300,720,4,12,180,30,0.70,0.0044,13,13
and_or_beam,16,36,300,720,4,12,180,30,0.80,0.0049,13,13
and_or_beam,16,36,300,720,4,12,180,40,0.60,0.0062,13,13
and_or_beam,16,36,300,720,4,12,180,40,0.70,0.0043,13,13
and_or_beam,16,36,300,720,4,12,180,40,0.80,0.0041,13,13
and_or_beam,16,36,300,720,4,16,120,30,0.60,0.0041,13,13
and_or_beam,16,36,300,720,4,16,120,30,0.70,0.0041,13,13
and_or_beam,16,36,300,720,4,16,120,30,0.80,0.0042,13,13
and_or_beam,16,36,300,720,4,16,120,40,0.60,0.0041,13,13
and_or_beam,16,36,300,720,4,16,120,40,0.70,0.0041,13,13
and_or_beam,16,36,300,720,4,16,120,40,0.80,0.0041,13,13
and_or_beam,16,36,300,720,4,16,180,30,0.60,0.0039,13,13
and_or_beam,16,36,300,720,4,16,180,30,0.70,0.0042,13,13
and_or_beam,16,36,300,720,4,16,180,30,0.80,0.0041,13,13
and_or_beam,16,36,300,720,4,16,180,40,0.60,0.0044,13,13
and_or_beam,16,36,300,720,4,16,180,40,0.70,0.0041,13,13
and_or_beam,16,36,300,720,4,16,180,40,0.80,0.0043,13,13
and_or_beam,16,36,600,480,2,12,120,30,0.60,0.0036,13,13
and_or_beam,16,36,600,480,2,12,120,30,0.70,0.0035,13,13
and_or_beam,16,36,600,480,2,12,120,30,0.80,0.0034,13,13
and_or_beam,16,36,600,480,2,12,120,40,0.60,0.0034,13,13
and_or_beam,16,36,600,480,2,12,120,40,0.70,0.0034,13,13
and_or_beam,16,36,600,480,2,12,120,40,0.80,0.0035,13,13
and_or_beam,16,36,600,480,2,12,180,30,0.60,0.0034,13,13
and_or_beam,16,36,600,480,2,12,180,30,0.70,0.0035,13,13
and_or_beam,16,36,600,480,2,12,180,30,0.80,0.0033,13,13
and_or_beam,16,36,600,480,2,12,180,40,0.60,0.0034,13,13
and_or_beam,16,36,600,480,2,12,180,40,0.70,0.0034,13,13
and_or_beam,16,36,600,480,2,12,180,40,0.80,0.0034,13,13
and_or_beam,16,36,600,480,2,16,120,30,0.60,0.0035,13,13
and_or_beam,16,36,600,480,2,16,120,30,0.70,0.0034,13,13
and_or_beam,16,36,600,480,2,16,120,30,0.80,0.0033,13,13
and_or_beam,16,36,600,480,2,16,120,40,0.60,0.0034,13,13
and_or_beam,16,36,600,480,2,16,120,40,0.70,0.0035,13,13
and_or_beam,16,36,600,480,2,16,120,40,0.80,0.0034,13,13
and_or_beam,16,36,600,480,2,16,180,30,0.60,0.0034,13,13
and_or_beam,16,36,600,480,2,16,180,30,0.70,0.0034,13,13
and_or_beam,16,36,600,480,2,16,180,30,0.80,0.0034,13,13
and_or_beam,16,36,600,480,2,16,180,40,0.60,0.0035,13,13
and_or_beam,16,36,600,480,2,16,180,40,0.70,0.0034,13,13
and_or_beam,16,36,600,480,2,16,180,40,0.80,0.0035,13,13
and_or_beam,16,36,600,480,3,12,120,30,0.60,0.0041,13,13
and_or_beam,16,36,600,480,3,12,120,30,0.70,0.0039,13,13
and_or_beam,16,36,600,480,3,12,120,30,0.80,0.0041,13,13
and_or_beam,16,36,600,480,3,12,120,40,0.60,0.0041,13,13
and_or_beam,16,36,600,480,3,12,120,40,0.70,0.0041,13,13
and_or_beam,16,36,600,480,3,12,120,40,0.80,0.0042,13,13
and_or_beam,16,36,600,480,3,12,180,30,0.60,0.0040,13,13
and_or_beam,16,36,600,480,3,12,180,30,0.70,0.0043,13,13
and_or_beam,16,36,600,480,3,12,180,30,0.80,0.0039,13,13
and_or_beam,16,36,600,480,3,12,180,40,0.60,0.0039,13,13
and_or_beam,16,36,600,480,3,12,180,40,0.70,0.0044,13,13
and_or_beam,16,36,600,480,3,12,180,40,0.80,0.0038,13,13
and_or_beam,16,36,600,480,3,16,120,30,0.60,0.0040,13,13
and_or_beam,16,36,600,480,3,16,120,30,0.70,0.0038,13,13
and_or_beam,16,36,600,480,3,16,120,30,0.80,0.0040,13,13
and_or_beam,16,36,600,480,3,16,120,40,0.60,0.0039,13,13
and_or_beam,16,36,600,480,3,16,120,40,0.70,0.0039,13,13
and_or_beam,16,36,600,480,3,16,120,40,0.80,0.0040,13,13
and_or_beam,16,36,600,480,3,16,180,30,0.60,0.0038,13,13
and_or_beam,16,36,600,480,3,16,180,30,0.70,0.0038,13,13
and_or_beam,16,36,600,480,3,16,180,30,0.80,0.0039,13,13
and_or_beam,16,36,600,480,3,16,180,40,0.60,0.0039,13,13
and_or_beam,16,36,600,480,3,16,180,40,0.70,0.0040,13,13
and_or_beam,16,36,600,480,3,16,180,40,0.80,0.0040,13,13
and_or_beam,16,36,600,480,4,12,120,30,0.60,0.0044,13,13
and_or_beam,16,36,600,480,4,12,120,30,0.70,0.0042,13,13
and_or_beam,16,36,600,480,4,12,120,30,0.80,0.0044,13,13
and_or_beam,16,36,600,480,4,12,120,40,0.60,0.0041,13,13
